id,team_api_id,team_fifa_api_id,team_long_name,team_short_name,logourl,logourl1,logourl2
1,9987,673.0,KRC Genk,GEN,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/KRC%20Genk.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/KRC%20Genk.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/KRC%20Genk.png
2,9993,675.0,Beerschot AC,BAC,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Beerschot%20AC.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Beerschot%20AC.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Beerschot%20AC.png
3,10000,15005.0,SV Zulte-Waregem,ZUL,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/SV%20Zulte%20Waregem.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/SV%20Zulte%20Waregem.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/SV%20Zulte%20Waregem.png
4,9994,2007.0,Sporting Lokeren,LOK,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Sporting%20Lokeren.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Sporting%20Lokeren.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Sporting%20Lokeren.png
5,9984,1750.0,KSV Cercle Brugge,CEB,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Cercle%20Brugge.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Cercle%20Brugge.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Cercle%20Brugge.png
6,8635,229.0,RSC Anderlecht,AND,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/RSC%20Anderlecht.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/RSC%20Anderlecht.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/RSC%20Anderlecht.png
7,9991,674.0,KAA Gent,GEN,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/KAA%20Gent.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/KAA%20Gent.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/KAA%20Gent.png
8,9998,1747.0,RAEC Mons,MON,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/RAEC%20Mons.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/RAEC%20Mons.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/RAEC%20Mons.png
9,7947,,FCV Dender EH,DEN,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/FCV%20Dender%20EH.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/FCV%20Dender%20EH.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/FCV%20Dender%20EH.png
10,9985,232.0,Standard de Liège,STL,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Standard%20Liège.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Standard%20Liège.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Standard%20Liège.png
11,8203,110724.0,KV Mechelen,MEC,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/KV%20Mechelen.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/KV%20Mechelen.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/KV%20Mechelen.png
12,8342,231.0,Club Brugge KV,CLB,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Club%20Brugge%20KV.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Club%20Brugge%20KV.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Club%20Brugge%20KV.png
13,9999,546.0,KSV Roeselare,ROS,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/KSV%20Roeselare.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/KSV%20Roeselare.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/KSV%20Roeselare.png
14,8571,100081.0,KV Kortrijk,KOR,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/KV%20Kortrijk.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/KV%20Kortrijk.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/KV%20Kortrijk.png
15,4049,,Tubize,TUB,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Tubize.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Tubize.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Tubize.png
16,9996,111560.0,Royal Excel Mouscron,MOU,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Royal%20Excel%20Mouscron.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Royal%20Excel%20Mouscron.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Royal%20Excel%20Mouscron.png
17,10001,681.0,KVC Westerlo,WES,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/KVC%20Westerlo.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/KVC%20Westerlo.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/KVC%20Westerlo.png
18,9986,670.0,Sporting Charleroi,CHA,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/RSC%20Charleroi.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/RSC%20Charleroi.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/RSC%20Charleroi.png
614,9997,680.0,Sint-Truidense VV,STT,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Sint-Truidense%20VV.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Sint-Truidense%20VV.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Sint-Truidense%20VV.png
1034,9989,239.0,Lierse SK,LIE,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2021-22/BE1/Lierse%20SK.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/2022-23/BE1/Lierse%20SK.png,https://raw.githubusercontent.com/luukhopman/football-logos/master/logos/BE1/Lierse%20SK.png
